City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
122,Hobyo,SO,5.3505,48.5268,83.01,59,99,15.79,overcast clouds
123,Ilebo,CD,-4.3167,20.5833,71.89,98,100,0.78,overcast clouds
124,Puerto Madryn,AR,-42.7692,-65.0385,53.82,56,0,13.22,clear sky
125,Praya,CV,14.9215,-23.5087,73.94,68,40,16.11,scattered clouds
126,Tsuruga,JP,35.6455,136.0558,61.65,79,61,6.13,broken clouds
127,Flinders,AU,-34.5833,150.8552,68.18,40,1,14.0,clear sky
128,Saint Anthony,US,45.0205,-93.218,28.35,78,0,9.22,clear sky
129,Sao Joao Da Barra,BR,-21.6403,-41.0511,71.94,90,25,6.96,scattered clouds
130,Breves,BR,-1.6822,-50.4803,71.58,85,68,3.69,broken clouds
131,Atar,MR,20.5169,-13.0499,68.36,18,0,9.93,clear sky
132,Hervey Bay,AU,-25.2986,152.8535,83.01,82,92,11.01,overcast clouds
133,Port Alfred,ZA,-33.5906,26.891,68.18,80,0,5.01,clear sky
134,Ancud,CL,-41.8697,-73.8203,43.99,84,21,3.89,few clouds
135,Suratgarh,IN,29.3167,73.9,75.15,23,11,3.94,few clouds
136,Ormara,PK,25.2088,64.6357,79.45,63,0,3.04,clear sky
137,Bambanglipuro,ID,-7.95,110.2833,83.5,70,54,9.62,broken clouds
138,Pitimbu,BR,-7.4706,-34.8086,73.99,73,93,10.42,overcast clouds
139,Hasaki,JP,35.7333,140.8333,63.21,85,100,10.11,overcast clouds
140,Berbera,SO,10.4396,45.0143,82.06,55,59,10.69,broken clouds
141,Te Anau,NZ,-45.4167,167.7167,55.51,93,100,7.54,moderate rain
142,Mount Gambier,AU,-37.8333,140.7667,52.0,58,61,19.04,broken clouds
143,Olafsvik,IS,64.8945,-23.7142,42.57,71,54,12.5,broken clouds
144,Ust-Tsilma,RU,65.441,52.1498,32.86,99,100,5.17,light snow
145,Kodiak,US,57.79,-152.4072,38.71,100,100,4.61,light rain
146,Provideniya,RU,64.3833,-173.3,18.01,88,100,12.48,overcast clouds
147,Caborca,MX,30.5838,-111.101,53.08,45,0,7.9,clear sky
148,Torbay,CA,47.6666,-52.7314,43.75,94,75,25.32,broken clouds
149,Beidao,CN,34.5686,105.8933,44.28,76,100,2.73,overcast clouds
150,Arenillas,ES,41.3471,-2.8462,46.99,91,100,17.92,overcast clouds
151,Qostanay,KZ,53.1667,63.5833,-3.71,77,75,2.24,broken clouds
152,Chilca,PE,-12.5211,-76.7372,63.45,89,96,2.64,overcast clouds
153,Duarte,US,34.1394,-117.9773,65.07,26,10,6.06,clear sky
154,Deputatskiy,RU,69.3,139.9,-24.32,94,74,2.06,broken clouds
155,Lata,PT,40.1629,-8.3327,61.07,95,100,10.38,overcast clouds
156,Airai,TL,-8.9266,125.4092,68.02,84,96,1.61,overcast clouds
157,Klaksvik,FO,62.2266,-6.589,45.52,85,91,22.66,light rain
158,Elmadag,TR,39.9208,33.2308,49.35,71,99,3.71,overcast clouds
159,Wanaka,NZ,-44.7,169.15,60.12,74,95,4.0,overcast clouds
160,Sorland,NO,67.667,12.6934,44.46,57,0,11.01,clear sky
161,Storm Lake,US,42.6411,-95.2097,30.42,55,0,12.66,clear sky
162,Ranong,TH,9.9658,98.6348,82.33,68,81,4.59,light rain
163,East London,ZA,-33.0153,27.9116,70.74,64,0,2.3,clear sky
164,Grindavik,IS,63.8424,-22.4338,41.47,81,75,14.97,moderate rain
165,Nanortalik,GL,60.1432,-45.2371,27.52,84,98,9.6,overcast clouds
166,Srednekolymsk,RU,67.45,153.6833,-34.8,100,38,1.23,scattered clouds
167,Tual,ID,-5.6667,132.75,85.41,71,100,10.87,overcast clouds
168,Barahona,DO,18.2085,-71.1008,75.6,86,1,2.48,clear sky
169,Puerto Ayora,EC,-0.7393,-90.3518,67.55,99,83,5.01,broken clouds
170,Gobabis,NA,-22.45,18.9667,79.59,17,96,12.64,overcast clouds
171,Thompson,CA,55.7435,-97.8558,14.16,79,40,9.22,scattered clouds
172,Lugazi,UG,0.3772,32.9197,65.86,93,99,0.87,light rain
173,College,US,64.8569,-147.8028,15.75,87,75,0.0,broken clouds
174,Charagua,BO,-19.8,-63.2167,67.51,87,1,3.31,clear sky
175,Moen,NO,69.1304,18.6123,24.93,60,0,5.21,clear sky
176,Lorengau,PG,-2.0226,147.2712,85.62,61,26,9.71,scattered clouds
177,Golub-Dobrzyn,PL,53.1109,19.0538,22.05,90,23,4.61,few clouds
178,Praia Da Vitoria,PT,38.7333,-27.0667,63.75,100,40,3.02,scattered clouds
179,Ponta Do Sol,PT,32.6667,-17.1,66.83,71,14,5.12,few clouds
180,Tiksi,RU,71.6872,128.8694,-17.39,100,96,3.18,overcast clouds
181,San Carlos,VE,9.6612,-68.5827,70.86,96,68,3.06,broken clouds
182,Malakal,SS,9.5334,31.6605,83.46,26,4,7.27,clear sky
183,Margate,GB,51.3813,1.3862,41.9,76,88,7.9,overcast clouds
184,Lebu,CL,-37.6167,-73.65,53.1,82,17,19.06,few clouds
185,San Pedro,PH,14.35,121.0167,87.31,72,75,6.91,broken clouds
186,Dingle,PH,10.9995,122.6711,85.41,74,81,7.36,broken clouds
187,Bredasdorp,ZA,-34.5322,20.0403,63.88,69,36,4.83,scattered clouds
188,Nelson Bay,AU,-32.7167,152.15,78.12,33,30,21.99,scattered clouds
189,Plymouth,US,41.8334,-70.8328,28.94,48,0,12.66,clear sky
190,Espanola,US,35.9911,-106.0806,37.38,42,0,3.65,clear sky
191,Atuona,PF,-9.8,-139.0333,77.4,72,55,8.23,broken clouds
192,Bogande,BF,12.9714,-0.1436,69.57,19,42,8.95,scattered clouds
193,Honningsvag,NO,70.9821,25.9704,37.15,87,100,10.36,overcast clouds
194,Los Llanos De Aridane,ES,28.6585,-17.9182,64.13,84,75,11.5,broken clouds
195,Koslan,RU,63.4564,48.8989,24.78,96,100,7.27,overcast clouds
196,Sangar,RU,63.9242,127.4739,-23.53,100,93,0.85,overcast clouds
