City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
650,Itarema,BR,80.1,overcast clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
651,Ikalamavony,MG,77.81,few clouds,-21.15,46.5833,
660,Tondano,ID,75.29,moderate rain,1.3038,124.9112,Villa Bella
665,Ahuimanu,US,78.51,scattered clouds,21.4447,-157.8378,Paradise Bay Resort
677,Akyab,MM,84.04,clear sky,20.15,92.9,ဟိုတယ် မန်မိုရီ
678,Pusad,IN,77.61,overcast clouds,19.9,77.5833,Bhakti Lodge
685,Pundaguitan,PH,83.3,overcast clouds,6.3711,126.1689,Leonardo Family Beach House 1
688,Tutoia,BR,78.08,scattered clouds,-2.7619,-42.2744,Pousada Guará's
689,Sambava,MG,82.08,clear sky,-14.2667,50.1667,Melrose
690,Kraksaan,ID,85.41,overcast clouds,-7.7585,113.3962,Asrama Hati
692,Mubi,NG,77.27,clear sky,10.2676,13.2644,LASVEGAS BAR AND MOTEL
694,Buta,CD,82.29,few clouds,2.7858,24.73,Hôtel BOPANDO
